Age,Turnover,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
26.0,No,Travel_Rarely,978.0,Sales,26.0,5,Life Sciences,1,8750.0,2,Female,152,3.0,3,Healthcare Representative,3.0,Divorced,34920.0,733320.0,8.0,Y,Yes,17.0,4.0,2.0,80,1,34.0,6.0,3,21.0,7.0,12.0,14
33.0,Yes,Non-Travel,1411.0,Human Resources,23.0,5,Technical Degree,1,8046.0,2,Male,72,1.0,4,Developer,2.0,Single,19683.0,295245.0,7.0,Y,No,45.0,1.0,2.0,80,3,17.0,6.0,2,16.0,15.0,2.0,2
60.0,Yes,Travel_Frequently,729.0,Research & Development,17.0,2,Medical,1,2144.0,2,Female,164,3.0,2,Developer,2.0,Married,26138.0,182966.0,6.0,Y,Yes,13.0,3.0,2.0,80,2,26.0,6.0,3,2.0,2.0,2.0,1
41.0,No,Non-Travel,999.0,Support,2.0,3,Marketing,1,7528.0,4,Female,111,2.0,1,Developer,4.0,Divorced,28428.0,511704.0,5.0,Y,No,44.0,3.0,1.0,80,4,17.0,5.0,3,4.0,4.0,1.0,2
34.0,Yes,Non-Travel,491.0,Hardware,6.0,2,Technical Degree,1,9821.0,2,Male,100,2.0,4,Laboratory Technician,1.0,Divorced,37445.0,149780.0,1.0,Y,Yes,0.0,3.0,2.0,80,1,9.0,6.0,1,3.0,1.0,1.0,1
51.0,No,Travel_Frequently,223.0,Software,49.0,4,Technical Degree,1,5577.0,4,Male,94,4.0,2,Research Scientist,1.0,Married,39640.0,554960.0,8.0,Y,No,28.0,3.0,1.0,80,2,2.0,3.0,4,1.0,1.0,1.0,1
36.0,Yes,Travel_Rarely,1099.0,Software,17.0,4,Marketing,1,9034.0,2,Female,148,1.0,5,Research Scientist,1.0,Married,27034.0,270340.0,7.0,Y,No,5.0,1.0,4.0,80,4,5.0,6.0,3,2.0,2.0,2.0,1
50.0,Yes,Non-Travel,1047.0,Human Resources,7.0,1,Other,1,23.0,4,Male,188,2.0,1,Healthcare Representative,2.0,Single,39576.0,910248.0,1.0,Y,No,46.0,2.0,1.0,80,4,31.0,1.0,1,18.0,5.0,8.0,12
33.0,Yes,Travel_Rarely,1331.0,Sales,13.0,5,Human Resources,1,955.0,4,Male,71,1.0,1,Sales Executive,4.0,Divorced,14656.0,322432.0,7.0,Y,Yes,44.0,3.0,3.0,80,4,30.0,3.0,3,16.0,12.0,10.0,2
58.0,No,Travel_Rarely,903.0,Software,30.0,3,Technical Degree,1,51.0,4,Female,170,4.0,3,Manager,2.0,Single,44334.0,1313547.125,2.0,Y,No,26.0,1.0,3.0,80,3,23.0,6.0,2,3.0,2.0,2.0,3
46.0,No,Travel_Frequently,838.0,Research & Development,43.0,5,Technical Degree,1,5025.0,3,Female,125,3.0,4,Healthcare Representative,1.0,Single,39672.0,1031472.0,0.0,Y,Yes,39.0,2.0,2.0,80,2,29.0,2.0,3,5.0,5.0,5.0,5
